Institution ID,Inst CRM ID,Dept Name,Department ID
Florida Atlantic University,E757D3B4-E3B0-E611-A5C2-0050569C00A7,Special Education,8252
Florida Atlantic University,E757D3B4-E3B0-E611-A5C2-0050569C00A7,Registered Course,9894
Florida Atlantic University,E757D3B4-E3B0-E611-A5C2-0050569C00A7,,11927
Florida Institute of Technology,F58CF753-6200-E411-BEB5-00505683000D,Behavior Analysis,8223
Florida Institute of Technology,F58CF753-6200-E411-BEB5-00505683000D,School of Behavior Analysis,8589
Florida Institute of Technology,F58CF753-6200-E411-BEB5-00505683000D,Registered Course,9895
Florida Institute of Technology,F58CF753-6200-E411-BEB5-00505683000D,,11928
Florida International University,F98CF753-6200-E411-BEB5-00505683000D,UnNamedDepartment,8476
Florida International University,F98CF753-6200-E411-BEB5-00505683000D,Psychology,8231
Florida International University,F98CF753-6200-E411-BEB5-00505683000D,Registered Course,9896
Florida State University,8E76915A-E856-E911-8106-000C29A8E632,Psychology,8305
Florida State University,8E76915A-E856-E911-8106-000C29A8E632,Registered Course,9897
Francis Marion University,E79D52D7-FA56-E911-8106-000C29A8E632,Department of Psychology,8469
Francis Marion University,E79D52D7-FA56-E911-8106-000C29A8E632,Registered Course,9898
Franciscan Missionaries of Our Lady University,AF7840A9-A666-E911-8106-000C29A8E632,Psychology,8206
Franciscan Missionaries of Our Lady University,AF7840A9-A666-E911-8106-000C29A8E632,Registered Course,9899
Fresno Pacific University,04725887-195A-E911-8106-000C29A8E632,Pupil Personnel Services,8586
Fresno Pacific University,04725887-195A-E911-8106-000C29A8E632,Registered Course,9900
George Brown College,258DF753-6200-E411-BEB5-00505683000D,School of Health and Wellness,8345
George Brown College,258DF753-6200-E411-BEB5-00505683000D,Health & Wellness,8487
George Brown College,258DF753-6200-E411-BEB5-00505683000D,Registered Course,9901
George Brown College,258DF753-6200-E411-BEB5-00505683000D,,11929
George Mason University,B06AEB13-1A5A-E911-8106-000C29A8E632,Special Education,8432
George Mason University,B06AEB13-1A5A-E911-8106-000C29A8E632,Registered Course,9902
Georgia Southern University - Armstrong,F167B8F2-1A5A-E911-8106-000C29A8E632,Psychology,8461
Georgia Southern University - Armstrong,F167B8F2-1A5A-E911-8106-000C29A8E632,Department of Psychology,8591
Georgia Southern University - Armstrong,F167B8F2-1A5A-E911-8106-000C29A8E632,Registered Course,9903
Georgia State University,2D8DF753-6200-E411-BEB5-00505683000D,Learning Sciences,8624
Georgia State University,2D8DF753-6200-E411-BEB5-00505683000D,Registered Course,9904
Georgia State University,2D8DF753-6200-E411-BEB5-00505683000D,,11930
Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,Psychology,8341
Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,Registered Course,9905
Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,,11931
Gonzaga University,3F8DF753-6200-E411-BEB5-00505683000D,Department of Special Education,8439
Gonzaga University,3F8DF753-6200-E411-BEB5-00505683000D,Registered Course,9906
Gonzaga University,3F8DF753-6200-E411-BEB5-00505683000D,Special Education,10208
Grand Valley State University,3E418318-B087-E511-A86B-0050569C00A7,Psychology,8359
Grand Valley State University,3E418318-B087-E511-A86B-0050569C00A7,Registered Course,9907
Grupo Conduzir,A4E795DF-5AFD-E811-8106-000C29A8E632,Education,8617
Grupo Conduzir,A4E795DF-5AFD-E811-8106-000C29A8E632,Registered Course,9908
Hebrew University of Jerusalem,0E88E5FF-1D5A-E911-8106-000C29A8E632,"School of Education, Deparment of Continuing Education",8309
Hebrew University of Jerusalem,0E88E5FF-1D5A-E911-8106-000C29A8E632,UnNamedDepartment,8363
Hebrew University of Jerusalem,0E88E5FF-1D5A-E911-8106-000C29A8E632,Registered Course,9909
Hofstra University,858DF753-6200-E411-BEB5-00505683000D,Special Education,8571
Hofstra University,858DF753-6200-E411-BEB5-00505683000D,Registered Course,9910
Hong Kong Association for Behavior Analysis,4457E065-6200-E411-BEB5-00505683000D,Rehabilitation Sciences,8425
Hong Kong Association for Behavior Analysis,4457E065-6200-E411-BEB5-00505683000D,HKABA,8519
Hong Kong Association for Behavior Analysis,4457E065-6200-E411-BEB5-00505683000D,Registered Course,9911
Hong Kong Association for Behavior Analysis,4457E065-6200-E411-BEB5-00505683000D,Special Education,11107
Hong Kong Association for Behavior Analysis,4457E065-6200-E411-BEB5-00505683000D,,11932
Humber College,732E3946-1F5A-E911-8106-000C29A8E632,School of Social & Community Services,8288
Humber College,732E3946-1F5A-E911-8106-000C29A8E632,School of Community and Social Services,8259
Humber College,732E3946-1F5A-E911-8106-000C29A8E632,Registered Course,9912
Hunter College,FE8F70AB-1F5A-E911-8106-000C29A8E632,Special Education,8464
Hunter College,FE8F70AB-1F5A-E911-8106-000C29A8E632,Registered Course,9913
Indian River State College,,Registered Course,9914
Indian River State College,,,11933
Instituto Walden 4,A201FB4A-A15B-E911-8106-000C29A8E632,Instituto Walden 4,8517
Instituto Walden 4,A201FB4A-A15B-E911-8106-000C29A8E632,Instituto Walden4,8496
Instituto Walden 4,A201FB4A-A15B-E911-8106-000C29A8E632,Registered Course,9915
International Training Center for Applied Behavior Analysis,04A37D08-215A-E911-8106-000C29A8E632,Behavior Analysis,8594
International Training Center for Applied Behavior Analysis,04A37D08-215A-E911-8106-000C29A8E632,Registered Course,9916
"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità (IRFID)",F7E22414-225A-E911-8106-000C29A8E632,"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità (IRFID)",8904
"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità (IRFID)",F7E22414-225A-E911-8106-000C29A8E632,Registered Course,9917
"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità  (IRFID)",F7E22414-225A-E911-8106-000C29A8E632,"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità (IRFID)",11207
"Istituto per la Ricerca, la Formazione e l'Informazione sulle DisabilitÃ  (IRFID)",F7E22414-225A-E911-8106-000C29A8E632,"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità (IRFID)",9004
Jacksonville State University,BA7F41EA-4221-E711-B720-0050569C00A7,Psychology,8317
Jacksonville State University,BA7F41EA-4221-E711-B720-0050569C00A7,Registered Course,9918
James Madison University,8FCEEF59-6200-E411-BEB5-00505683000D,Graduate Psychology / Exceptional education,8595
James Madison University,8FCEEF59-6200-E411-BEB5-00505683000D,Registered Course,9919
Johns Hopkins University,0D7383A1-F5B1-E811-8102-000C29A8E632,Special Education,8323
Johns Hopkins University,0D7383A1-F5B1-E811-8102-000C29A8E632,Registered Course,9920
Johns Hopkins University,0D7383A1-F5B1-E811-8102-000C29A8E632,,11934
Kean University,6E7BFD4C-255A-E911-8106-000C29A8E632,Special Education,8478
Kean University,6E7BFD4C-255A-E911-8106-000C29A8E632,Registered Course,9921
Keiser University,C724B627-375A-E911-8106-000C29A8E632,Psychology,8534
Keiser University,C724B627-375A-E911-8106-000C29A8E632,Registered Course,9922
Kent State University,C2CEEF59-6200-E411-BEB5-00505683000D,Special Education,8587
Kent State University,C2CEEF59-6200-E411-BEB5-00505683000D,Registered Course,9923
Kibbutzim College,ADA8FD94-255A-E911-8106-000C29A8E632,School for advanced studies,8520
Kibbutzim College,ADA8FD94-255A-E911-8106-000C29A8E632,Advanced Studies,8541
Kibbutzim College,ADA8FD94-255A-E911-8106-000C29A8E632,Registered Course,9924
King Saud University,,Registered Course,9925
King Saud University,,,11935
